#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
1,Chiefs,29.6,473,420,630,66.7,4854,7.7,11.6,40,7,255,24,,106
2,Buccaneers,30.8,492,410,626,65.5,4626,7.4,11.3,42,12,238,22,,102
3,Bills,31.3,501,410,596,68.8,4620,7.8,11.3,40,11,240,27,,106
4,Texans,24,384,383,546,70.1,4538,8.3,11.8,33,7,222,50,,110
5,Falcons,24.8,396,408,628,65,4363,6.9,10.7,27,11,243,41,,92
6,Chargers,24,384,413,627,65.9,4329,6.9,10.5,31,10,226,34,,96
7,Raiders,27.1,434,369,551,67,4217,7.7,11.4,28,10,206,28,,99
8,Cowboys,24.7,395,413,639,64.6,4161,6.5,10.1,25,13,231,44,,88
9,Packers,31.8,509,372,526,70.7,4106,7.8,11,48,5,216,21,,120
10,Lions,23.6,377,374,582,64.3,4104,7.1,11,27,13,220,42,,91
11,Colts,28.2,451,371,552,67.2,4053,7.3,10.9,24,11,201,21,,95
12,49ers,23.5,376,371,570,65.1,4033,7.1,10.9,25,17,217,39,,88
13,Rams,23.2,372,392,590,66.4,4014,6.8,10.2,20,14,206,25,,87
14,Vikings,26.9,430,349,516,67.6,4009,7.8,11.5,35,13,212,39,,103
15,Steelers,26,416,428,656,65.2,4003,6.1,9.4,35,11,206,14,,93
16,Seahawks,28.7,459,388,563,68.9,3941,7,10.2,40,13,216,48,,103
17,Cardinals,25.6,410,387,575,67.3,3916,6.8,10.1,27,13,211,29,,93
18,Panthers,21.9,350,373,550,67.8,3888,7.1,10.4,16,16,192,36,,86
19,Saints,30.1,482,370,522,70.9,3758,7.2,10.2,28,8,199,29,,103
20,Dolphins,25.2,404,370,559,66.2,3736,6.7,10.1,24,13,207,34,,90
21,Jaguars,19.1,306,387,616,62.8,3699,6,9.6,25,16,205,44,,82
22,Bears,23.2,372,402,614,65.5,3655,6,9.1,26,16,218,36,,85
23,Titans,30.7,491,316,485,65.2,3653,7.5,11.6,33,7,203,25,,104
24,Browns,25.5,408,315,501,62.9,3539,7.1,11.2,27,8,195,26,,95
25,Commanders,20.9,335,389,601,64.7,3465,5.8,8.9,16,16,184,50,,78
26,Broncos,20.2,323,317,556,57,3451,6.2,10.9,21,23,176,32,,71
27,Bengals,19.4,311,372,581,64,3448,5.9,9.3,19,11,201,48,,83
28,Eagles,20.9,334,334,598,55.9,3327,5.6,10,22,20,177,65,,70
29,Giants,17.5,280,321,517,62.1,3026,5.9,9.4,12,11,178,50,,77
30,Patriots,20.4,326,283,440,64.3,2890,6.6,10.2,12,14,157,37,,79
31,Jets,15.2,243,292,499,58.5,2796,5.6,9.6,16,14,146,43,,73
32,Ravens,29.2,468,257,406,63.3,2739,6.7,10.7,27,11,142,32,,94
