#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Cowboys,,260,239,492,48.6,2631,5.3,11,18,13,127,32,189,66
2,Bills,,279,285,508,56.1,2707,5.3,9.5,18,10,153,38,231,75
3,Buccaneers,,264,274,475,57.7,2710,5.7,9.9,16,20,140,36,234,68
4,Ravens,,281,296,531,55.7,2805,5.3,9.5,19,24,144,47,353,64
5,Colts,,336,277,445,62.2,2809,6.3,10.1,18,15,138,31,225,80
6,Broncos,,301,265,495,53.5,2828,5.7,10.7,17,9,141,36,221,74
7,Browns,,322,297,502,59.2,2846,5.7,9.6,13,15,160,35,203,71
8,Saints,,326,264,485,54.4,2993,6.2,11.3,20,14,165,32,171,75
9,Panthers,,304,299,522,57.3,3003,5.8,10,19,16,161,40,212,73
10,Jets,,299,281,455,61.8,3025,6.6,10.8,14,11,168,35,218,81
11,Steelers,,327,294,484,60.7,3042,6.3,10.3,20,14,155,35,203,81
12,Rams,,328,296,510,58,3072,6,10.4,23,24,164,42,291,71
13,Bears,,346,326,525,62.1,3082,5.9,9.5,20,15,156,18,105,79
14,Commanders,,372,285,483,59,3195,6.6,11.2,23,17,176,27,159,80
15,Patriots,,238,328,618,53.1,3232,5.2,9.9,11,29,177,41,253,54
16,Eagles,,287,337,559,60.3,3236,5.8,9.6,17,13,171,38,248,77
17,49ers,,337,310,514,60.3,3238,6.3,10.4,25,23,165,42,306,76
18,Jaguars,,331,303,510,59.4,3251,6.4,10.7,23,15,172,24,134,81
19,Dolphins,,261,319,529,60.3,3335,6.3,10.5,12,22,171,44,253,69
20,Chiefs,,332,332,565,58.8,3363,6,10.1,19,25,184,36,251,69
21,Chargers,,441,322,524,61.5,3375,6.4,10.5,36,13,178,30,200,93
22,Raiders,,379,286,467,61.2,3394,7.3,11.9,21,14,159,25,162,86
23,Packers,,307,326,589,55.3,3400,5.8,10.4,18,21,172,34,200,68
24,Bengals,,384,297,508,58.5,3402,6.7,11.5,23,14,177,30,196,82
25,Giants,,387,309,519,59.5,3412,6.6,11,25,10,178,45,298,87
26,Vikings,,353,311,531,58.6,3477,6.5,11.2,17,28,186,37,245,67
27,Seahawks,,327,343,573,59.9,3480,6.1,10.1,24,16,183,40,248,80
28,Lions,,379,331,522,63.4,3578,6.9,10.8,26,15,166,28,182,88
29,Cardinals,,452,311,497,62.6,3589,7.2,11.5,29,13,184,21,97,93
30,Titans,,324,332,546,60.8,3606,6.6,10.9,20,21,167,38,223,76
31,Texans,,380,297,502,59.2,3712,7.4,12.5,22,14,179,19,123,85
32,Falcons,,422,323,508,63.6,3800,7.5,11.8,28,15,187,36,205,92
